#ProcessedFacebook0
#Walktrap
#Time taken 0.01562190055847168s
236,186,3
122,285,3
24,346,14
271,304,3
176,9,3
252,332,3
82,65,3
276,26,3
280,272,3
211,199,3
84,236,3
133,62,3
239,172,3
3,170,3
175,46,22
170,176,3
170,56,3
254,194,14
231,117,3
127,135,19
285,103,3
188,133,3
288,315,3
119,323,3
200,98,3
313,63,3
199,304,3
53,346,14
344,239,3
56,67,3
118,325,3
188,119,3
26,277,3
134,56,3
270,76,31
135,36,19
223,170,3
170,274,3
108,197,19
169,271,3
62,236,3
275,273,4
213,186,3
83,23,13
28,312,2
242,57,14
214,20,2
307,71,29
20,333,2
207,322,3
339,168,6
308,277,3
186,341,3
322,122,3
128,9,3
334,252,3
238,265,3
67,141,3
78,273,4
345,122,3
315,345,3
317,158,3
98,21,3
24,302,14
27,54,3
197,139,19
109,118,3
252,291,3
170,142,3
82,271,3
203,332,3
105,9,3
232,285,3
64,217,28
239,62,3
248,332,3
73,126,1
224,261,3
144,226,2
290,25,3
172,342,3
119,170,3
285,146,3
300,94,14
236,142,3
184,159,19
159,139,19
53,299,14
149,20,2
332,13,3
342,59,3
238,239,3
17,326,2
80,187,14
325,109,3
224,84,3
161,142,3
122,323,3
161,308,3
142,66,3
308,31,3
271,252,3
3,85,3
246,7,6
109,56,3
109,119,3
239,238,3
272,186,3
200,123,3
271,188,3
31,277,3
326,17,2
284,108,19
56,26,3
343,115,2
25,323,3
297,26,3
343,149,2
200,109,3
185,271,3
326,149,2
104,56,3
308,142,3
324,329,3
9,252,3
21,274,3
345,67,3
313,265,3
277,271,3
9,203,3
85,176,3
111,343,2
14,20,2
310,32,15
304,30,3
199,222,3
92,346,14
72,40,3
284,184,19
125,136,3
134,118,3
9,322,3
302,266,14
332,104,3
40,199,3
212,67,3
200,277,3
82,169,3
308,172,3
261,63,3
146,313,3
188,285,3
57,92,14
199,265,3
332,98,3
169,136,3
248,277,3
98,271,3
56,141,3
199,118,3
239,141,3
21,212,3
176,128,3
175,278,22
203,25,3
265,40,3
26,252,3
339,340,6
172,232,3
311,265,3
309,135,19
330,80,14
230,70,29
21,134,3
24,53,14
40,332,3
261,16,3
239,223,3
277,39,3
224,141,3
142,345,3
72,141,3
313,21,3
261,271,3
276,25,3
109,200,3
288,25,3
329,291,3
194,242,14
223,203,3
290,170,3
261,325,3
36,251,19
291,10,3
342,67,3
21,55,3
108,284,19
67,69,3
323,142,3
261,113,3
55,200,3
13,277,3
322,25,3
258,257,3
285,136,3
265,98,3
252,248,3
62,200,3
313,54,3
196,249,14
323,85,3
82,231,3
141,224,3
342,119,3
304,325,3
136,156,3
325,104,3
211,325,3
304,158,3
254,302,14
92,242,14
30,303,3
274,188,3
271,30,3
144,326,2
265,56,3
249,57,14
341,186,3
174,293,35
33,42,16
312,28,2
199,212,3
9,323,3
168,347,6
67,142,3
115,2,2
333,2,2
332,38,3
291,280,3
119,54,3
271,232,3
135,281,19
258,9,3
285,200,3
330,94,14
263,175,22
212,304,3
238,342,3
284,159,19
141,172,3
66,21,3
313,203,3
139,320,19
25,186,3
252,338,3
200,188,3
59,342,3
162,149,2
304,322,3
185,169,3
252,236,3
25,290,3
56,185,3
158,40,3
238,222,3
56,128,3
199,261,3
271,203,3
63,313,3
62,161,3
302,57,14
98,172,3
28,144,2
239,252,3
332,25,3
265,203,3
303,104,3
119,39,3
239,211,3
313,172,3
200,122,3
104,303,3
75,9,3
272,203,3
218,78,4
261,268,3
314,65,3
21,56,3
139,281,19
5,122,3
55,21,3
80,24,14
178,38,3
186,109,3
304,21,3
203,21,3
285,271,3
122,248,3
104,322,3
302,254,14
236,169,3
304,324,3
266,249,14
3,280,3
211,98,3
195,181,4
8,245,7
297,185,3
113,104,3
10,142,3
129,7,6
56,297,3
248,323,3
273,328,4
36,309,19
129,168,6
242,194,14
343,2,2
21,169,3
226,343,2
40,200,3
172,331,3
326,343,2
134,26,3
332,329,3
3,200,3
331,109,3
101,299,14
203,59,3
231,315,3
265,199,3
99,296,22
322,290,3
