#ProcessedFacebook0
#Multilevel
#Time taken 0.015618562698364258s
122,285,3
24,346,1
176,9,3
204,213,1
82,65,10
276,26,3
280,272,3
211,199,10
133,62,3
239,172,10
3,170,3
175,46,15
170,176,3
254,194,1
231,117,3
127,135,16
188,133,3
73,299,1
288,315,3
48,57,1
313,63,10
53,346,1
344,239,10
118,325,10
26,277,3
270,76,3
135,36,16
170,274,3
108,197,16
62,236,3
275,273,4
83,23,6
28,312,2
242,57,1
214,20,2
307,71,2
20,333,2
339,168,6
322,122,3
238,265,10
67,141,3
78,273,4
345,122,3
315,345,3
339,38,6
24,302,1
27,54,13
197,139,16
170,142,3
82,271,10
105,9,3
232,285,3
64,217,13
248,332,3
73,126,1
283,3,3
144,226,2
290,25,3
172,342,10
300,94,1
236,142,3
346,1,1
184,159,16
159,139,16
53,299,1
149,20,2
342,59,10
238,239,10
17,326,2
80,187,1
161,142,3
122,323,3
142,66,3
308,31,6
136,7,6
271,252,10
255,49,2
3,85,3
246,7,6
239,238,10
326,17,2
284,108,16
140,137,2
343,115,2
25,323,3
297,26,3
343,149,2
200,109,3
7,136,6
326,149,2
104,56,10
339,136,6
324,329,13
21,274,3
119,171,13
345,67,3
313,265,10
85,176,3
111,343,2
14,20,2
310,32,2
304,30,3
199,222,10
92,346,1
72,40,3
284,184,16
125,136,6
9,322,3
302,266,1
200,277,3
261,63,10
188,285,3
57,92,1
199,265,10
213,57,1
248,277,3
98,271,10
310,17,2
199,118,10
175,278,15
339,340,6
31,237,6
311,265,10
309,135,16
330,80,1
230,70,2
21,134,3
24,53,1
40,332,3
261,16,10
239,223,10
277,39,3
224,141,3
142,345,3
72,141,3
261,271,10
276,25,3
109,200,3
288,25,3
194,242,1
223,203,10
290,170,3
261,325,10
36,251,16
291,10,3
108,284,16
3,228,3
168,31,6
67,69,3
323,142,3
322,25,3
258,257,3
265,98,10
62,200,3
196,249,1
323,85,3
141,224,3
325,104,10
211,325,10
304,158,3
254,302,1
92,242,1
30,303,3
274,188,3
28,310,2
286,81,13
144,326,2
265,56,10
249,57,1
174,293,2
33,42,14
312,28,2
199,212,10
9,323,3
168,347,6
67,142,3
1,53,1
115,2,2
333,2,2
291,280,3
119,54,13
135,281,16
258,9,3
285,200,3
330,94,1
263,175,15
238,342,10
284,159,16
111,279,2
66,21,3
313,203,10
84,51,6
139,320,16
252,338,10
200,188,3
59,342,10
162,149,2
304,322,3
185,169,3
25,290,3
158,40,3
238,222,10
56,128,10
199,261,10
271,203,10
63,313,10
62,161,3
302,57,1
98,172,10
28,144,2
249,213,1
239,252,10
332,25,3
265,203,10
239,211,10
313,172,10
200,122,3
75,9,3
137,312,2
218,78,4
261,268,10
314,65,10
57,213,1
139,281,16
80,24,1
304,21,3
192,49,2
122,248,3
312,243,2
302,254,1
236,169,3
266,249,1
3,280,3
243,312,2
211,98,10
195,181,4
8,245,7
297,185,3
10,142,3
129,7,6
248,323,3
273,328,4
115,19,2
36,309,16
129,168,6
242,194,1
343,2,2
21,169,3
226,343,2
40,200,3
172,331,10
326,343,2
134,26,3
3,200,3
101,299,1
203,59,10
231,315,3
265,199,10
99,296,15
322,290,3
296,102,15
118,261,10
238,56,10
117,231,3
312,149,2
105,277,3
204,196,1
315,303,3
312,326,2
277,161,3
98,223,10
128,104,10
313,222,10
98,331,10
299,194,1
122,141,3
324,217,13
291,25,3
104,318,10
261,65,10
265,128,10
163,173,13
116,14,2
92,1,1
26,3,3
165,121,3
3,25,3
149,226,2
328,306,4
303,315,3
56,239,10
122,274,3
46,177,15
249,180,1
73,1,1
53,48,1
24,187,1
87,136,6
323,141,3
323,62,3
189,217,13
280,236,3
115,137,2
25,276,3
186,55,10
197,127,16
334,26,3
304,170,3
259,8,7
186,199,10
200,39,3
149,162,2
185,290,3
13,261,10
204,5,1
109,26,3
169,40,3
194,196,1
85,156,3
123,342,10
45,67,3
80,48,1
162,343,2
272,21,3
67,297,3
13,118,10
115,28,2
58,269,13
46,175,15
25,169,3
80,57,1
135,197,16
275,218,4
285,170,3
314,199,10
279,111,2
126,48,1
36,320,16
137,167,2
140,326,2
130,48,1
302,94,1
101,80,1
92,194,1
2,20,2
323,96,3
91,8,7
143,177,15
200,30,3
257,26,3
142,322,3
204,94,1
346,194,1
223,186,10
56,252,10
113,142,3
26,21,3
285,323,3
290,176,3
93,167,2
276,122,3
96,133,3
41,243,2
188,304,3
203,313,10
200,170,3
232,200,3
6,89,5
171,107,13
257,169,3
224,232,3
187,24,1
141,67,3
113,66,3
56,103,10
59,271,10
158,26,3
211,82,10
285,208,3
26,9,3
40,133,3
143,175,15
45,221,3
