#ProcessedFacebook0
#LeadingEigenVector
#Time taken 0.18745923042297363s
271,304
84,236
322,53
170,56
231,117
285,103
23,116
119,323
200,98
199,304
344,239
56,67
188,119
270,76
223,170
88,21
339,119
169,271
88,186
213,186
128,9
334,252
317,158
98,21
252,291
239,62
248,332
224,261
283,3
119,48
119,170
285,146
83,25
25,94
224,84
161,142
161,308
136,7
246,7
200,123
271,188
56,26
345,159
200,109
185,271
7,136
104,56
339,136
324,329
9,252
1,315
119,171
280,1
277,271
56,88
9,203
332,104
40,199
212,67
82,169
308,172
146,313
168,304
56,141
239,141
21,212
176,128
203,25
265,40
26,252
339,340
172,232
31,237
272,159
21,134
40,332
304,249
313,21
109,200
329,291
342,67
21,55
3,228
168,31
55,200
13,277
252,248
313,54
304,325
325,104
271,30
332,38
119,54
271,232
212,304
141,172
84,51
252,236
56,185
62,161
19,175
332,25
339,161
119,39
272,203
21,56
5,122
55,21
178,38
186,109
203,21
285,271
304,324
113,104
129,7
56,297
134,26
332,329
150,128
231,315
117,231
284,21
239,21
277,161
172,277
128,104
324,217
13,188
104,318
172,141
272,346
248,38
196,67
304,172
87,136
186,55
30,56
186,199
285,213
109,26
67,55
98,285
271,133
230,23
116,23
315,80
72,252
323,96
239,276
325,21
223,186
113,142
96,133
235,5
271,79
113,66
40,213
119,285
56,132
212,344
301,324
109,67
122,284
322,48
106,29
322,203
96,274
134,132
280,98
329,269
184,21
277,324
332,248
329,119
232,56
315,213
26,199
332,67
185,55
295,239
323,119
232,212
291,332
313,26
108,21
271,21
334,113
329,272
203,297
170,250
98,104
38,141
31,51
123,334
53,322
203,67
315,249
119,185
7,22
132,134
231,178
21,223
109,186
322,56
123,67
144,23
56,75
98,122
272,108
118,26
232,298
26,265
298,40
186,178
87,161
50,277
203,200
252,200
280,332
161,21
113,132
239,323
291,213
56,66
303,109
136,339
104,123
124,170
290,56
128,322
26,203
67,203
21,342
31,168
67,212
332,158
159,172
207,56
232,231
231,9
176,239
304,161
237,31
169,56
322,1
1,133
133,96
304,212
280,231
30,48
103,339
56,62
73,331
57,277
134,66
322,130
67,123
199,315
25,231
56,272
119,217
87,315
322,161
31,339
56,221
56,169
126,322
22,7
67,119
83,31
249,315
128,176
239,232
21,184
82,158
120,247
119,176
118,200
248,53
325,186
323,103
285,313
128,26
213,246
340,339
334,339
25,119
122,128
142,271
119,122
103,169
66,56
59,186
239,322
313,315
72,113
324,136
277,175
21,332
170,128
161,339
324,22
280,252
136,56
67,109
123,186
203,9
200,199
185,103
276,98
21,239
186,59
315,313
277,57
96,190
141,199
150,163
247,29
186,203
56,122
246,339
211,272
55,170
277,332
271,25
213,345
304,203
127,21
72,56
40,231
322,128
94,315
21,203
188,56
317,132
161,87
25,148
277,325
100,323
170,342
322,118
113,26
339,87
239,122
25,252
239,26
197,272
84,224
188,239
125,119
272,211
103,285
142,161
315,203
170,268
313,60
48,203
203,170
