#ProcessedFacebook0
#LeadingEigenVector
#Time taken 0.18745923042297363s
236,186,22
122,285,22
24,346,1
176,9,22
130,329,1
204,213,1
252,332,30
82,65,30
276,26,22
280,272,22
211,199,30
133,62,22
239,172,30
3,170,22
175,46,26
170,176,22
254,194,1
127,135,1
188,133,22
73,299,1
288,315,22
48,57,1
313,63,30
53,346,1
118,325,30
26,277,22
134,56,30
135,36,1
170,274,22
108,197,1
62,236,22
275,273,24
83,23,26
28,312,23
242,57,1
214,20,23
307,71,23
20,333,23
207,322,22
339,168,29
308,277,22
186,341,22
322,122,22
238,265,30
67,141,22
78,273,24
345,122,22
315,345,22
339,38,29
24,302,1
27,54,1
197,139,1
109,118,30
170,142,22
82,271,30
203,332,30
105,9,22
232,285,22
64,217,27
73,126,1
144,226,23
290,25,22
172,342,30
300,94,1
236,142,22
346,1,1
184,159,1
159,139,1
53,299,1
149,20,23
332,13,30
342,59,30
238,239,30
17,326,23
80,187,1
325,109,30
122,323,22
142,66,22
308,31,22
271,252,30
255,49,23
48,320,1
3,85,22
109,56,30
109,119,30
239,238,30
272,186,22
285,246,22
31,277,22
326,17,23
284,108,1
140,137,23
343,115,23
25,323,22
297,26,22
343,149,23
320,48,1
326,149,23
308,142,22
21,274,22
345,67,22
313,265,30
85,176,22
111,343,23
14,20,23
310,32,23
304,30,22
199,222,30
92,346,1
72,40,22
284,184,1
125,136,22
134,118,30
9,322,22
302,266,1
200,277,22
270,203,30
261,63,30
188,285,22
57,92,1
199,265,30
332,98,30
169,136,22
213,57,1
248,277,22
98,271,30
310,17,23
199,118,30
175,278,26
311,265,30
309,135,1
330,80,1
230,70,23
24,53,1
261,16,30
239,223,30
277,39,22
224,141,22
142,345,22
72,141,22
261,271,30
276,25,22
288,25,22
194,242,1
223,203,30
290,170,22
261,325,30
36,251,1
291,10,22
108,284,1
67,69,22
323,142,22
261,113,30
322,25,22
258,257,22
285,136,22
80,320,1
265,98,30
62,200,22
196,249,1
323,85,22
82,231,30
141,224,22
342,119,30
136,156,22
211,325,30
304,158,22
254,302,1
92,242,1
30,303,22
274,188,22
28,310,23
286,81,27
144,326,23
265,56,30
249,57,1
341,186,22
174,293,23
33,42,6
312,28,23
199,212,30
9,323,22
168,347,29
67,142,22
1,53,1
115,2,23
333,2,23
291,280,22
135,281,1
258,9,22
285,200,22
330,94,1
263,175,26
238,342,30
284,159,1
111,279,23
66,21,22
313,203,30
139,320,1
25,186,22
252,338,30
200,188,22
59,342,30
162,149,23
304,322,22
185,169,22
25,290,22
158,40,22
238,222,30
56,128,30
199,261,30
271,203,30
63,313,30
302,57,1
98,172,30
28,144,23
249,213,1
239,252,30
265,203,30
303,104,22
239,211,30
313,172,30
200,122,22
104,303,22
75,9,22
137,312,23
218,78,24
261,268,30
314,65,30
57,213,1
7,213,1
139,281,1
80,24,1
304,21,22
192,49,23
122,248,22
104,322,22
312,243,23
302,254,1
236,169,22
266,249,1
3,280,22
243,312,23
211,98,30
195,181,24
8,245,26
297,185,22
10,142,22
248,323,22
273,328,24
115,19,23
36,309,1
129,168,29
242,194,1
343,2,23
21,169,22
226,343,23
40,200,22
172,331,30
326,343,23
3,200,22
331,109,30
101,299,1
203,59,30
265,199,30
99,296,26
322,290,22
296,102,26
118,261,30
238,56,30
312,149,23
304,308,22
105,277,22
204,196,1
315,303,22
312,326,23
340,213,1
98,223,30
313,222,30
98,331,30
299,194,1
122,141,22
291,25,22
261,65,30
265,128,30
163,173,1
116,14,23
92,1,1
26,3,22
165,121,22
3,25,22
149,226,23
328,306,24
303,315,22
56,239,30
122,274,22
46,177,26
249,180,1
73,1,1
53,48,1
199,119,30
24,187,1
323,141,22
323,62,22
189,217,27
280,236,22
115,137,23
25,276,22
60,285,22
197,127,1
334,26,22
304,170,22
259,8,26
346,184,1
200,39,22
185,344,22
184,329,1
149,162,23
185,290,22
13,261,30
204,5,1
169,40,22
194,196,1
85,156,22
123,342,30
118,283,30
45,67,22
80,48,1
162,343,23
272,21,22
67,297,22
13,118,30
115,28,23
58,269,27
46,175,26
25,169,22
80,57,1
135,197,1
203,161,30
113,261,30
275,218,24
285,170,22
314,199,30
279,111,23
126,48,1
36,320,1
137,167,23
140,326,23
130,48,1
302,94,1
101,80,1
23,227,26
92,194,1
2,20,23
91,8,26
143,177,26
200,30,22
257,26,22
331,324,30
142,322,22
188,104,22
23,61,26
204,94,1
346,194,1
56,252,30
26,21,22
285,323,22
290,176,22
93,167,23
276,122,22
41,243,23
188,304,22
203,313,30
200,170,22
232,200,22
6,89,25
171,107,27
257,169,22
224,232,22
187,24,1
141,67,22
56,103,30
59,271,30
158,26,22
211,82,30
285,208,22
26,9,22
40,133,22
143,175,26
45,221,22
285,315,22
21,170,22
326,214,23
281,159,1
281,251,1
25,232,22
59,56,30
92,180,1
277,308,22
290,323,22
167,93,23
250,59,30
274,341,22
249,302,1
118,239,30
111,337,23
252,109,30
56,55,30
80,266,1
252,134,30
104,67,22
94,346,1
141,280,22
325,161,30
158,315,22
